id,adults,children,weekends,weekdays,meal_type,room_type,arrival,lead_time,segment,repeat,price,requests,booking_status
44,1,0,0,1,Meal Plan 1,Room_Type 1,2018-10-14,53.0,Offline,0,120.0,0,0
45,2,0,0,2,Not Selected,Room_Type 1,2018-03-11,35.0,Online,0,71.1,0,0
46,1,0,0,3,Meal Plan 1,Room_Type 1,2017-10-06,19.0,Offline,1,80.0,0,0
47,2,0,0,3,Meal Plan 2,Room_Type 1,2018-09-29,1.0,Corporate,0,146.0,0,0
48,2,0,0,4,Meal Plan 1,Room_Type 1,2017-12-09,110.0,Offline,0,70.0,1,0
49,2,1,2,2,Meal Plan 1,Room_Type 1,2018-03-20,42.0,Online,0,113.6,0,1
50,2,0,0,4,Meal Plan 1,Room_Type 1,2018-10-19,96.0,Online,0,118.8,2,0
51,2,0,1,3,Meal Plan 1,Room_Type 1,2018-03-10,10.0,Offline,0,63.58,1,0
52,2,0,2,8,Meal Plan 1,Room_Type 1,2017-07-07,54.0,Online,0,62.37,0,0
53,1,0,0,2,Meal Plan 1,Room_Type 1,2017-10-02,164.0,Online,0,100.0,0,1
54,2,0,2,1,Meal Plan 1,Room_Type 1,2018-12-24,349.0,Online,0,78.3,0,1
55,2,0,0,3,Meal Plan 1,Room_Type 1,2018-09-13,0.0,Online,0,106.2,1,0
56,3,0,2,1,Meal Plan 1,Room_Type 4,2018-08-21,172.0,Online,0,107.1,1,1
57,2,0,2,3,Meal Plan 1,Room_Type 1,2018-05-13,276.0,Offline,0,61.0,0,1
58,2,2,2,3,Meal Plan 2,Room_Type 6,2018-08-19,151.0,Online,0,217.6,2,1
59,2,0,0,2,Not Selected,Room_Type 1,2018-11-25,52.0,Online,0,79.2,2,0
60,2,0,2,5,Meal Plan 1,Room_Type 1,2018-06-20,202.0,Offline,0,80.24,0,0
61,2,0,2,5,Meal Plan 1,Room_Type 1,2018-02-05,128.0,Offline,0,43.43,1,0
62,2,0,1,3,Meal Plan 1,Room_Type 1,2018-03-17,75.0,Offline,0,80.0,0,1
63,2,0,0,2,Meal Plan 1,Room_Type 2,2018-08-31,179.0,Online,0,103.69,0,1
64,2,0,0,3,Meal Plan 1,Room_Type 1,2018-03-16,35.0,Online,0,63.06,1,0
65,2,2,4,10,Meal Plan 1,Room_Type 6,2018-05-16,87.0,Online,0,187.85,1,1
66,2,1,2,3,Meal Plan 1,Room_Type 1,2018-03-18,9.0,Online,0,154.4,2,0
67,3,0,2,2,Meal Plan 1,,2018-07-10,86.0,Offline,0,96.9,0,0
68,2,0,2,0,Meal Plan 1,Room_Type 1,2017-09-20,5.0,Corporate,1,100.0,0,0
69,1,0,0,1,Meal Plan 1,Room_Type 1,2017-09-01,1.0,Complementary,0,0.0,1,0
70,2,0,2,5,Meal Plan 1,Room_Type 1,2018-03-28,182.0,Online,0,96.94,1,1
71,2,1,2,0,Meal Plan 1,Room_Type 4,2018-07-31,52.0,Online,0,152.1,1,0
72,2,0,0,2,Meal Plan 2,Room_Type 1,2018-09-13,,Offline,0,115.0,1,1
73,2,0,1,4,Meal Plan 2,Room_Type 1,2018-04-25,10.0,Online,0,174.0,1,1
74,2,0,0,2,Meal Plan 1,Room_Type 1,2018-03-17,17.0,Corporate,0,80.0,1,0
75,1,0,2,1,Meal Plan 1,,2018-10-15,93.0,Offline,0,115.0,0,1
76,2,0,2,0,Meal Plan 1,Room_Type 1,2018-04-24,146.0,Offline,0,95.0,0,1
77,2,0,1,2,Meal Plan 1,Room_Type 2,2018-03-25,130.0,Online,0,102.58,1,0
78,2,1,1,1,Meal Plan 2,Room_Type 1,2018-08-08,188.0,Online,0,164.25,1,1
79,2,0,0,2,Meal Plan 1,Room_Type 1,2018-10-21,9.0,Complementary,0,,0,0
80,1,0,4,9,Meal Plan 1,Room_Type 1,2018-11-27,32.0,Online,0,74.8,1,1
81,2,0,1,2,Meal Plan 1,Room_Type 1,2018-06-20,128.0,Online,0,120.0,0,1
82,2,0,0,4,Not Selected,Room_Type 1,2018-09-27,133.0,Online,0,118.8,3,0
83,1,0,0,2,Meal Plan 1,Room_Type 5,2018-02-05,7.0,Corporate,0,86.0,0,0
84,2,0,0,2,Meal Plan 1,Room_Type 1,2018-12-08,49.0,Online,0,98.1,1,0
85,2,0,0,1,Not Selected,Room_Type 1,2018-09-22,9.0,Online,0,149.0,1,0
86,2,1,0,1,Not Selected,Room_Type 1,2018-08-17,5.0,Online,0,84.96,1,0
87,2,0,0,1,Meal Plan 1,Room_Type 1,2018-07-20,1.0,Online,0,111.0,0,0
88,2,0,1,2,Not Selected,Room_Type 1,2018-12-05,20.0,Online,0,88.0,1,0
89,1,0,2,5,Not Selected,Room_Type 1,2017-10-03,18.0,Online,1,78.17,0,0
90,2,0,0,2,Meal Plan 1,Room_Type 4,2018-10-05,29.0,Online,0,166.25,3,0
91,2,1,2,0,Meal Plan 1,Room_Type 1,2018-12-25,14.0,Online,0,135.0,2,0
92,1,0,0,1,Meal Plan 1,Room_Type 1,2018-08-04,1.0,Online,0,115.0,1,0
93,2,0,0,3,Meal Plan 1,Room_Type 1,2018-05-31,,Online,0,82.61,1,0
94,2,0,1,3,Meal Plan 1,Room_Type 1,2018-09-29,287.0,Online,0,100.3,0,1
95,2,0,0,5,Meal Plan 1,Room_Type 1,2017-12-29,140.0,Offline,0,70.0,0,0
96,2,0,1,2,Meal Plan 1,Room_Type 1,2018-04-29,64.0,Online,0,126.9,1,1
97,2,0,2,1,Meal Plan 1,Room_Type 1,2017-11-14,22.0,Online,0,87.0,1,0
98,2,0,2,3,Meal Plan 1,Room_Type 1,2018-11-20,18.0,Online,0,,0,1
99,2,0,0,2,Not Selected,Room_Type 1,2018-07-27,0.0,Online,0,,0,0
100,2,0,1,2,Meal Plan 1,Room_Type 1,2017-10-09,66.0,Offline,0,75.0,0,1
101,3,0,0,2,Meal Plan 1,Room_Type 1,2017-12-03,6.0,Offline,0,77.0,0,0
102,2,0,0,3,Meal Plan 1,Room_Type 1,2018-06-02,1.0,Online,0,120.0,1,0
103,0,2,1,1,Meal Plan 1,Room_Type 2,2018-08-13,14.0,Online,0,138.05,3,0
104,2,0,2,5,Meal Plan 1,Room_Type 1,2018-07-09,193.0,Online,0,90.95,1,0
105,1,0,0,2,Meal Plan 1,Room_Type 1,2018-06-24,192.0,Offline,0,95.0,0,0
106,2,0,1,2,Meal Plan 1,Room_Type 1,2018-05-16,84.0,Online,0,126.9,0,1
107,2,0,0,1,Not Selected,Room_Type 1,2017-12-26,3.0,Online,0,,0,0
108,2,0,0,2,Meal Plan 1,,2018-06-30,124.0,Online,0,105.3,1,0
109,2,0,1,3,Meal Plan 1,Room_Type 1,2017-12-31,2.0,Online,0,119.0,1,0
110,2,0,0,1,Meal Plan 1,Room_Type 1,2018-10-04,31.0,Online,0,134.1,1,0
111,1,0,1,4,Meal Plan 1,Room_Type 1,2018-06-22,190.0,Offline,0,95.0,0,0
112,1,0,0,3,Not Selected,,2018-09-27,76.0,Online,0,125.1,1,0
113,2,0,2,3,Not Selected,Room_Type 1,2018-09-02,6.0,Online,0,97.79,1,0
114,2,0,1,0,Meal Plan 1,Room_Type 1,2017-08-10,,Online,0,96.0,0,0
115,2,0,1,4,Meal Plan 1,Room_Type 1,2018-08-08,203.0,Online,0,65.49,1,0
116,2,0,1,0,Meal Plan 1,Room_Type 1,2017-10-04,12.0,Offline,0,72.0,0,0
117,2,0,1,3,Not Selected,Room_Type 1,2018-12-01,49.0,Online,0,74.8,2,0
118,3,0,1,3,Meal Plan 1,Room_Type 1,2018-07-21,105.0,Offline,0,96.9,1,0
119,2,0,0,2,Meal Plan 2,Room_Type 1,2017-08-14,39.0,Offline,0,109.0,0,0
120,2,0,2,1,Meal Plan 1,Room_Type 1,2018-08-13,6.0,Online,0,,2,0
121,2,0,0,2,Meal Plan 2,Room_Type 1,2017-10-16,102.0,Offline,0,109.0,0,0
122,1,0,2,4,Meal Plan 1,Room_Type 1,2018-07-06,245.0,Offline,0,110.0,0,1
123,2,0,0,2,Not Selected,Room_Type 1,2017-08-19,0.0,Online,0,97.0,1,0
124,2,0,0,2,Not Selected,Room_Type 1,2018-07-05,135.0,Online,0,99.0,1,0
125,2,0,2,2,Meal Plan 1,Room_Type 1,2018-08-21,231.0,Online,0,,1,0
126,2,0,1,3,Meal Plan 1,,2018-11-03,4.0,Online,0,131.75,1,0
127,2,0,1,2,Meal Plan 1,Room_Type 1,2018-10-28,,Online,0,129.0,1,0
128,2,0,0,4,Meal Plan 1,Room_Type 4,2018-12-28,14.0,Online,0,125.8,0,0
129,1,0,2,0,Meal Plan 1,Room_Type 1,2018-06-19,1.0,Online,0,135.0,0,0
130,2,0,1,3,Meal Plan 1,Room_Type 1,2017-10-05,111.0,Offline,0,72.25,0,0
131,2,1,2,3,Meal Plan 1,Room_Type 7,2018-08-25,48.0,Online,0,184.26,2,0
132,2,0,1,2,Meal Plan 1,Room_Type 1,2018-09-26,418.0,Offline,0,75.0,0,1
133,1,0,0,1,Meal Plan 1,Room_Type 1,2018-10-13,1.0,Offline,0,109.65,0,0
134,2,0,0,2,Meal Plan 2,,2017-08-14,39.0,Offline,0,109.0,0,0
135,2,0,1,2,Meal Plan 1,Room_Type 1,2018-05-16,115.0,Online,0,105.3,1,0
136,1,0,0,1,Not Selected,Room_Type 1,2018-05-25,11.0,Online,0,99.0,0,0
137,1,0,0,1,Meal Plan 1,Room_Type 1,2018-10-14,53.0,Offline,0,120.0,0,0
138,2,0,1,4,Meal Plan 2,Room_Type 4,2018-10-24,63.0,Online,0,103.61,1,0
139,2,0,0,1,Meal Plan 1,Room_Type 1,2017-08-12,2.0,Corporate,0,65.0,0,0
140,2,0,1,1,Meal Plan 1,Room_Type 2,2017-12-05,0.0,Online,0,73.64,0,0
141,2,0,0,2,Meal Plan 1,Room_Type 1,2018-11-18,11.0,Online,0,111.0,1,1
142,2,0,0,2,Meal Plan 2,Room_Type 1,2017-08-14,39.0,Offline,0,101.5,0,0
143,2,0,1,1,Meal Plan 1,Room_Type 1,2018-07-16,19.0,Online,0,151.0,1,1
144,2,0,2,5,Meal Plan 1,Room_Type 1,2018-01-16,12.0,Online,0,89.0,1,0
145,2,0,1,2,Meal Plan 1,Room_Type 1,2018-06-10,57.0,Offline,0,90.67,1,0
146,2,0,0,1,Meal Plan 1,Room_Type 1,2017-10-03,236.0,Online,0,89.25,0,1
147,0,2,2,1,Meal Plan 1,,2018-02-21,73.0,Online,0,69.53,1,0
148,2,0,2,2,Meal Plan 1,Room_Type 1,2017-10-30,99.0,Online,0,,0,1
149,2,0,0,2,Meal Plan 2,Room_Type 1,2017-09-04,63.0,Offline,0,116.0,0,0
150,2,0,0,2,Meal Plan 1,Room_Type 4,2018-04-22,40.0,Online,0,118.8,0,1
151,2,0,2,5,Meal Plan 1,Room_Type 1,2018-09-05,104.0,Online,0,98.64,1,0
152,2,0,2,4,Meal Plan 1,Room_Type 1,2018-08-11,171.0,Online,0,99.45,1,0
153,2,2,0,2,Meal Plan 1,,2018-08-11,145.0,Online,0,186.3,1,0
154,2,0,0,1,Not Selected,Room_Type 1,2018-05-12,1.0,Offline,0,85.0,0,0
155,3,0,0,3,Meal Plan 1,Room_Type 4,2018-07-26,40.0,Online,0,168.3,0,1
156,2,0,1,2,Not Selected,Room_Type 1,2018-03-14,19.0,Online,0,60.83,1,0
157,3,0,1,1,Meal Plan 1,Room_Type 4,2018-07-30,144.0,Online,0,155.7,1,0
158,2,0,1,2,Meal Plan 1,Room_Type 1,2018-04-01,84.0,Online,0,87.3,1,0
159,2,0,2,0,Not Selected,Room_Type 1,2018-07-03,32.0,Online,0,112.59,0,1
160,1,0,1,2,Meal Plan 1,Room_Type 3,2017-10-09,66.0,Offline,0,65.0,0,0
161,2,0,1,4,Meal Plan 1,Room_Type 1,2018-06-08,88.0,Offline,0,80.75,0,1
162,2,1,0,3,Meal Plan 1,Room_Type 1,2018-07-05,90.0,Online,0,130.5,1,0
163,3,0,2,3,Meal Plan 1,Room_Type 1,2018-08-26,192.0,Offline,0,96.9,1,0
164,2,0,1,2,Meal Plan 1,Room_Type 1,2018-02-12,40.0,Online,0,78.3,1,1
165,1,0,0,2,Meal Plan 2,Room_Type 1,2017-09-18,74.0,Offline,0,80.0,0,0
166,1,0,0,2,Meal Plan 1,Room_Type 1,2018-04-19,103.0,Offline,0,115.0,0,1
167,1,0,0,3,Meal Plan 1,Room_Type 4,2018-06-14,11.0,Corporate,0,90.0,0,0
168,3,0,0,2,Meal Plan 1,Room_Type 4,2018-02-12,9.0,Online,0,127.0,1,0
169,2,0,2,3,Meal Plan 1,Room_Type 4,2018-10-30,230.0,Online,0,98.6,1,1
170,2,0,0,1,Meal Plan 1,Room_Type 6,2018-02-17,0.0,Complementary,1,0.0,2,0
171,2,0,1,2,Meal Plan 1,Room_Type 1,2018-11-04,305.0,Offline,0,89.0,0,1
172,1,1,2,4,Meal Plan 1,Room_Type 1,2018-08-11,,Online,0,117.3,1,0
173,2,0,2,2,Meal Plan 1,Room_Type 1,2018-04-24,71.0,Online,0,93.08,1,0
174,2,0,2,1,Meal Plan 1,Room_Type 1,2018-03-12,57.0,Online,0,,1,0
175,2,0,0,1,Meal Plan 1,Room_Type 4,2018-06-02,85.0,Online,0,140.4,0,1
176,2,0,0,4,Meal Plan 1,Room_Type 1,2017-09-16,105.0,Online,0,,0,0
177,2,0,2,3,Meal Plan 1,Room_Type 4,2018-10-30,49.0,Online,0,124.4,1,1
178,2,0,0,1,Meal Plan 1,Room_Type 1,2018-01-13,2.0,Corporate,1,42.0,1,0
179,2,0,2,3,Meal Plan 2,Room_Type 4,2018-09-15,79.0,Online,0,183.6,1,1
180,2,0,1,2,Not Selected,Room_Type 1,2018-10-31,70.0,Online,0,79.5,1,0
181,1,0,1,0,Meal Plan 1,Room_Type 1,2018-05-01,,Online,0,125.0,0,1
182,1,0,2,1,Meal Plan 2,Room_Type 1,2017-08-15,9.0,Offline,0,36.25,0,0
183,2,0,0,3,Meal Plan 1,Room_Type 1,2018-08-09,203.0,Online,0,96.3,0,1
184,2,0,0,3,Meal Plan 1,Room_Type 1,2018-12-08,157.0,Offline,0,,0,0
185,1,0,0,1,Meal Plan 2,Room_Type 1,2017-09-30,4.0,Offline,0,90.6,0,0
186,3,0,1,3,Meal Plan 1,Room_Type 4,2018-10-17,184.0,Online,0,128.7,2,1
187,2,0,2,0,Meal Plan 2,Room_Type 1,2018-04-17,275.0,Offline,0,110.0,0,1
188,2,0,2,2,Meal Plan 1,Room_Type 2,2018-03-05,50.0,Online,0,67.66,0,1
189,2,0,0,3,Meal Plan 1,Room_Type 1,2018-08-10,157.0,Online,0,123.3,2,1
190,2,0,0,2,Meal Plan 2,Room_Type 1,2017-10-16,102.0,Offline,0,101.5,0,1
191,2,0,1,2,Meal Plan 1,Room_Type 4,2017-10-12,39.0,Online,0,83.16,2,0
192,1,0,0,3,Meal Plan 1,Room_Type 4,2018-06-14,28.0,Online,0,108.42,1,0
193,2,0,2,1,Meal Plan 1,Room_Type 1,2018-09-25,34.0,Online,0,117.0,1,0
194,1,0,1,2,Meal Plan 1,Room_Type 1,2018-02-22,6.0,Online,0,92.0,0,0
195,2,0,2,2,Meal Plan 1,Room_Type 1,2017-10-23,15.0,Offline,0,54.75,0,0
196,2,0,0,5,Meal Plan 2,Room_Type 1,2018-11-08,5.0,Online,0,134.3,1,0
197,1,0,0,2,Meal Plan 1,Room_Type 1,2018-09-28,33.0,Complementary,0,65.0,0,0
198,2,0,5,12,Meal Plan 1,Room_Type 1,2017-08-03,81.0,Online,0,76.5,1,1
199,2,0,1,4,Meal Plan 1,Room_Type 1,2018-10-05,275.0,Online,0,90.0,0,1
200,2,0,1,1,Not Selected,Room_Type 1,2018-07-16,7.0,Online,0,139.0,0,0
201,2,0,0,2,Meal Plan 1,Room_Type 1,2018-04-21,24.0,Online,0,117.0,0,1
202,1,0,1,0,Meal Plan 1,Room_Type 1,2018-05-30,12.0,Online,0,125.0,1,0
203,1,0,1,0,Meal Plan 1,Room_Type 1,2018-09-12,3.0,Online,0,145.0,2,0
204,2,0,0,2,Meal Plan 2,Room_Type 1,2017-09-18,74.0,Offline,0,109.0,0,0
205,2,0,0,3,Not Selected,Room_Type 1,2018-10-05,142.0,Online,0,108.0,0,1
206,1,0,1,0,Meal Plan 1,Room_Type 1,2018-11-21,,Corporate,0,65.0,0,1
207,1,0,0,2,Meal Plan 1,Room_Type 1,2017-10-02,164.0,Offline,0,100.0,0,0
208,2,0,1,2,Meal Plan 2,Room_Type 1,2018-03-25,161.0,Offline,0,130.0,0,1
209,1,0,1,1,Meal Plan 1,Room_Type 1,2018-11-19,45.0,Online,0,86.4,0,1
210,2,1,0,1,Not Selected,,2018-04-16,101.0,Online,0,65.83,2,0
211,1,0,0,1,Meal Plan 1,Room_Type 1,2018-02-19,15.0,Corporate,0,81.0,0,0
212,2,0,2,1,Meal Plan 1,Room_Type 1,2018-10-30,228.0,Online,0,87.9,0,1
213,2,0,2,2,Meal Plan 1,Room_Type 1,2018-10-07,17.0,Online,0,117.04,1,0
214,2,0,1,1,Not Selected,Room_Type 1,2018-09-26,37.0,Online,0,108.0,2,0
215,2,1,0,1,Meal Plan 1,Room_Type 1,2018-02-12,5.0,Online,0,110.0,3,0
216,2,0,1,4,Meal Plan 2,Room_Type 1,2017-12-28,49.0,Online,0,145.61,1,0
217,2,0,1,4,Not Selected,Room_Type 1,2018-07-13,,Online,0,80.75,0,1
218,2,0,2,3,Meal Plan 1,Room_Type 1,2017-09-26,33.0,Offline,0,57.92,1,0
219,2,0,2,2,Meal Plan 1,Room_Type 1,2017-10-23,11.0,Offline,0,88.5,0,0
220,2,0,2,2,Meal Plan 1,Room_Type 1,2018-08-12,193.0,Online,0,108.45,1,1
221,2,0,2,0,Meal Plan 2,Room_Type 1,2018-10-30,75.0,Offline,0,105.0,0,1
222,1,0,0,1,Meal Plan 1,Room_Type 1,2018-11-17,,Corporate,1,79.0,1,0
223,2,0,0,3,Meal Plan 1,,2017-09-03,8.0,Online,0,117.67,2,0
224,2,0,2,1,Meal Plan 1,,2018-07-09,22.0,Offline,0,85.0,0,0
225,1,0,1,3,Meal Plan 1,Room_Type 4,2018-09-12,46.0,Offline,0,,0,0
226,1,0,0,2,Meal Plan 1,Room_Type 1,2018-06-08,0.0,Offline,0,,0,0
227,1,0,1,1,Meal Plan 1,Room_Type 1,2018-10-03,17.0,Corporate,0,95.0,0,0
228,3,0,1,3,Meal Plan 1,Room_Type 4,2018-08-22,93.0,Online,0,150.3,0,1
229,2,0,2,1,Meal Plan 1,Room_Type 4,2018-10-08,50.0,Online,0,139.5,1,1
230,1,0,0,3,Meal Plan 1,Room_Type 1,2018-11-16,26.0,Corporate,0,77.0,0,1
231,2,0,0,2,Meal Plan 2,Room_Type 1,2018-06-15,256.0,Offline,0,,1,1
232,2,0,0,1,Not Selected,Room_Type 1,2017-12-18,18.0,Online,0,75.0,2,0
233,2,0,0,2,Not Selected,Room_Type 1,2018-11-08,36.0,Online,0,,1,0
234,2,2,1,0,Meal Plan 1,Room_Type 6,2018-08-21,34.0,Online,0,207.9,1,0
235,2,0,0,1,Not Selected,Room_Type 1,2018-02-23,12.0,Online,0,79.0,0,1
236,1,0,2,1,Meal Plan 2,Room_Type 1,2018-09-17,220.0,Offline,0,128.0,0,1
237,1,0,0,1,Meal Plan 1,Room_Type 1,2017-11-25,2.0,Corporate,1,65.0,0,0
238,2,0,0,2,Meal Plan 2,Room_Type 1,2018-08-18,320.0,Online,0,115.0,1,1
239,3,0,1,3,Meal Plan 1,Room_Type 4,2018-12-26,155.0,Online,0,115.6,1,1
240,2,0,1,1,Meal Plan 1,Room_Type 1,2018-05-21,45.0,Online,0,126.9,2,0
241,2,1,0,3,Meal Plan 1,Room_Type 6,2018-10-18,28.0,Online,0,160.2,1,0
242,2,0,1,1,Meal Plan 1,Room_Type 4,2018-04-02,34.0,Online,0,131.4,1,0
243,2,0,0,2,Meal Plan 1,Room_Type 1,2018-06-03,70.0,Offline,0,100.0,0,0
244,3,0,0,3,Meal Plan 1,Room_Type 4,2018-09-07,81.0,Online,0,168.3,0,1
245,2,0,0,3,Meal Plan 1,,2018-05-05,157.0,Online,0,127.0,0,1
246,1,0,0,1,Meal Plan 1,Room_Type 1,2018-03-10,35.0,Online,0,,0,1
247,2,0,0,4,Meal Plan 1,Room_Type 1,2018-04-13,74.0,Online,0,99.45,1,0
248,2,1,2,2,Meal Plan 1,Room_Type 1,2018-09-03,94.0,Offline,0,102.68,0,0
249,1,0,0,3,Meal Plan 1,Room_Type 1,2018-05-31,113.0,Corporate,0,100.0,0,1
250,2,0,0,3,Meal Plan 1,Room_Type 1,2018-11-03,190.0,Online,0,90.9,0,1
251,2,0,0,2,Meal Plan 1,Room_Type 4,2018-06-17,0.0,Offline,0,90.95,1,0
252,2,0,0,2,Meal Plan 1,Room_Type 1,2018-06-02,30.0,Offline,0,,0,0
253,2,0,1,2,Meal Plan 1,Room_Type 1,2018-03-14,39.0,Offline,0,85.0,0,0
254,1,0,1,0,Not Selected,Room_Type 1,2018-10-09,1.0,Online,0,103.18,1,0
255,2,1,2,1,Meal Plan 1,Room_Type 1,2017-10-17,26.0,Online,0,161.0,0,0
256,2,1,1,1,Meal Plan 1,Room_Type 1,2018-07-16,,Online,0,121.5,2,0
257,2,0,0,3,Meal Plan 1,Room_Type 1,2018-09-08,433.0,Offline,0,70.0,0,1
258,2,0,2,5,Meal Plan 1,Room_Type 1,2018-08-08,195.0,Offline,0,72.25,0,0
259,1,0,0,2,Meal Plan 1,Room_Type 1,2018-06-15,,Offline,0,130.0,0,1
260,2,1,0,3,Meal Plan 1,Room_Type 1,2018-04-06,74.0,Online,0,112.5,1,1
261,2,0,1,2,Meal Plan 1,Room_Type 1,2018-05-13,273.0,Offline,0,95.0,0,1
262,2,0,1,3,Not Selected,Room_Type 1,2018-12-15,6.0,Online,0,66.3,0,0
263,2,0,2,5,Meal Plan 1,Room_Type 1,2018-03-21,89.0,Online,0,83.66,1,0
264,2,2,2,0,Meal Plan 1,Room_Type 6,2018-03-20,,Online,0,180.0,1,1
265,2,0,1,5,Meal Plan 1,Room_Type 1,2018-07-12,103.0,Online,0,114.3,1,0
266,1,0,4,11,Meal Plan 1,Room_Type 1,2018-08-30,155.0,Online,0,117.42,0,1
267,2,0,0,1,Meal Plan 1,Room_Type 5,2018-06-11,3.0,Online,0,128.8,0,0
268,1,0,1,2,Meal Plan 1,Room_Type 1,2018-10-10,180.0,Offline,0,120.0,0,1
269,2,0,0,4,Meal Plan 1,Room_Type 1,2018-07-12,92.0,Online,0,89.85,2,0
270,2,0,0,2,Meal Plan 2,Room_Type 1,2017-09-17,56.0,Offline,0,82.0,0,0
271,2,0,0,3,Meal Plan 1,Room_Type 1,2018-10-12,279.0,Online,0,110.0,0,1
272,2,0,0,2,Meal Plan 1,Room_Type 1,2018-08-10,134.0,Online,0,114.3,1,0
273,2,0,0,2,Not Selected,Room_Type 1,2018-03-25,8.0,Online,0,139.0,1,0
274,3,0,2,2,Meal Plan 1,Room_Type 4,2018-04-29,10.0,Online,0,172.0,2,0
275,2,0,2,0,Meal Plan 1,Room_Type 1,2018-08-21,2.0,Online,0,148.0,1,0
