room_type,meal_type,segment,lead_time,price,id,adults,children,weekends,weekdays,repeat,requests,arrival_month,booking_status
3.0,0.0,4.0,29.0,166.25,90,2,0,0,2,0,3,10.0,0
0.0,0.0,4.0,14.0,135.0,91,2,1,2,0,0,2,12.0,0
0.0,0.0,4.0,1.0,115.0,92,1,0,0,1,0,1,8.0,0
0.0,0.0,4.0,58.0,82.61,93,2,0,0,3,0,1,5.0,0
0.0,0.0,4.0,287.0,100.3,94,2,0,1,3,0,0,9.0,1
0.0,0.0,3.0,140.0,70.0,95,2,0,0,5,0,0,12.0,0
0.0,0.0,4.0,64.0,126.9,96,2,0,1,2,0,1,4.0,1
0.0,0.0,4.0,22.0,87.0,97,2,0,2,1,0,1,11.0,0
0.0,0.0,4.0,18.0,99.88,98,2,0,2,3,0,0,11.0,1
0.0,3.0,4.0,0.0,99.88,99,2,0,0,2,0,0,7.0,0
0.0,0.0,3.0,66.0,75.0,100,2,0,1,2,0,0,10.0,1
0.0,0.0,3.0,6.0,77.0,101,3,0,0,2,0,0,12.0,0
0.0,0.0,4.0,1.0,120.0,102,2,0,0,3,0,1,6.0,0
1.0,0.0,4.0,14.0,138.05,103,0,2,1,1,0,3,8.0,0
0.0,0.0,4.0,193.0,90.95,104,2,0,2,5,0,1,7.0,0
0.0,0.0,3.0,192.0,95.0,105,1,0,0,2,0,0,6.0,0
0.0,0.0,4.0,84.0,126.9,106,2,0,1,2,0,0,5.0,1
0.0,3.0,4.0,3.0,99.88,107,2,0,0,1,0,0,12.0,0
0.0,0.0,4.0,124.0,105.3,108,2,0,0,2,0,1,6.0,0
0.0,0.0,4.0,2.0,119.0,109,2,0,1,3,0,1,12.0,0
0.0,0.0,4.0,31.0,134.1,110,2,0,0,1,0,1,10.0,0
0.0,0.0,3.0,190.0,95.0,111,1,0,1,4,0,0,6.0,0
0.0,3.0,4.0,76.0,125.1,112,1,0,0,3,0,1,9.0,0
0.0,3.0,4.0,6.0,97.79,113,2,0,2,3,0,1,9.0,0
0.0,0.0,4.0,58.0,96.0,114,2,0,1,0,0,0,8.0,0
0.0,0.0,4.0,203.0,65.49,115,2,0,1,4,0,1,8.0,0
0.0,0.0,3.0,12.0,72.0,116,2,0,1,0,0,0,10.0,0
0.0,3.0,4.0,49.0,74.8,117,2,0,1,3,0,2,12.0,0
0.0,0.0,3.0,105.0,96.9,118,3,0,1,3,0,1,7.0,0
0.0,1.0,3.0,39.0,109.0,119,2,0,0,2,0,0,8.0,0
0.0,0.0,4.0,6.0,99.88,120,2,0,2,1,0,2,8.0,0
0.0,1.0,3.0,102.0,109.0,121,2,0,0,2,0,0,10.0,0
0.0,0.0,3.0,245.0,110.0,122,1,0,2,4,0,0,7.0,1
0.0,3.0,4.0,0.0,97.0,123,2,0,0,2,0,1,8.0,0
0.0,3.0,4.0,135.0,99.0,124,2,0,0,2,0,1,7.0,0
0.0,0.0,4.0,231.0,99.88,125,2,0,2,2,0,1,8.0,0
0.0,0.0,4.0,4.0,131.75,126,2,0,1,3,0,1,11.0,0
0.0,0.0,4.0,58.0,129.0,127,2,0,1,2,0,1,10.0,0
3.0,0.0,4.0,14.0,125.8,128,2,0,0,4,0,0,12.0,0
0.0,0.0,4.0,1.0,135.0,129,1,0,2,0,0,0,6.0,0
0.0,0.0,3.0,111.0,72.25,130,2,0,1,3,0,0,10.0,0
6.0,0.0,4.0,48.0,184.26,131,2,1,2,3,0,2,8.0,0
0.0,0.0,3.0,418.0,75.0,132,2,0,1,2,0,0,9.0,1
0.0,0.0,3.0,1.0,109.65,133,1,0,0,1,0,0,10.0,0
0.0,1.0,3.0,39.0,109.0,134,2,0,0,2,0,0,8.0,0
0.0,0.0,4.0,115.0,105.3,135,2,0,1,2,0,1,5.0,0
0.0,3.0,4.0,11.0,99.0,136,1,0,0,1,0,0,5.0,0
0.0,0.0,3.0,53.0,120.0,137,1,0,0,1,0,0,10.0,0
3.0,1.0,4.0,63.0,103.61,138,2,0,1,4,0,1,10.0,0
0.0,0.0,2.0,2.0,65.0,139,2,0,0,1,0,0,8.0,0
1.0,0.0,4.0,0.0,73.64,140,2,0,1,1,0,0,12.0,0
0.0,0.0,4.0,11.0,111.0,141,2,0,0,2,0,1,11.0,1
0.0,1.0,3.0,39.0,101.5,142,2,0,0,2,0,0,8.0,0
0.0,0.0,4.0,19.0,151.0,143,2,0,1,1,0,1,7.0,1
0.0,0.0,4.0,12.0,89.0,144,2,0,2,5,0,1,1.0,0
0.0,0.0,3.0,57.0,90.67,145,2,0,1,2,0,1,6.0,0
0.0,0.0,4.0,236.0,89.25,146,2,0,0,1,0,0,10.0,1
0.0,0.0,4.0,73.0,69.53,147,0,2,2,1,0,1,2.0,0
0.0,0.0,4.0,99.0,99.88,148,2,0,2,2,0,0,10.0,1
0.0,1.0,3.0,63.0,116.0,149,2,0,0,2,0,0,9.0,0
3.0,0.0,4.0,40.0,118.8,150,2,0,0,2,0,0,4.0,1
0.0,0.0,4.0,104.0,98.64,151,2,0,2,5,0,1,9.0,0
0.0,0.0,4.0,171.0,99.45,152,2,0,2,4,0,1,8.0,0
0.0,0.0,4.0,145.0,186.3,153,2,2,0,2,0,1,8.0,0
0.0,3.0,3.0,1.0,85.0,154,2,0,0,1,0,0,5.0,0
3.0,0.0,4.0,40.0,168.3,155,3,0,0,3,0,0,7.0,1
0.0,3.0,4.0,19.0,60.83,156,2,0,1,2,0,1,3.0,0
3.0,0.0,4.0,144.0,155.7,157,3,0,1,1,0,1,7.0,0
0.0,0.0,4.0,84.0,87.3,158,2,0,1,2,0,1,4.0,0
0.0,3.0,4.0,32.0,112.59,159,2,0,2,0,0,0,7.0,1
2.0,0.0,3.0,66.0,65.0,160,1,0,1,2,0,0,10.0,0
0.0,0.0,3.0,88.0,80.75,161,2,0,1,4,0,0,6.0,1
0.0,0.0,4.0,90.0,130.5,162,2,1,0,3,0,1,7.0,0
0.0,0.0,3.0,192.0,96.9,163,3,0,2,3,0,1,8.0,0
0.0,0.0,4.0,40.0,78.3,164,2,0,1,2,0,1,2.0,1
0.0,1.0,3.0,74.0,80.0,165,1,0,0,2,0,0,9.0,0
0.0,0.0,3.0,103.0,115.0,166,1,0,0,2,0,0,4.0,1
3.0,0.0,2.0,11.0,90.0,167,1,0,0,3,0,0,6.0,0
3.0,0.0,4.0,9.0,127.0,168,3,0,0,2,0,1,2.0,0
3.0,0.0,4.0,230.0,98.6,169,2,0,2,3,0,1,10.0,1
5.0,0.0,1.0,0.0,0.0,170,2,0,0,1,1,2,2.0,0
0.0,0.0,3.0,305.0,89.0,171,2,0,1,2,0,0,11.0,1
0.0,0.0,4.0,58.0,117.3,172,1,1,2,4,0,1,8.0,0
0.0,0.0,4.0,71.0,93.08,173,2,0,2,2,0,1,4.0,0
0.0,0.0,4.0,57.0,99.88,174,2,0,2,1,0,1,3.0,0
3.0,0.0,4.0,85.0,140.4,175,2,0,0,1,0,0,6.0,1
0.0,0.0,4.0,105.0,99.88,176,2,0,0,4,0,0,9.0,0
3.0,0.0,4.0,49.0,124.4,177,2,0,2,3,0,1,10.0,1
0.0,0.0,2.0,2.0,42.0,178,2,0,0,1,1,1,1.0,0
3.0,1.0,4.0,79.0,183.6,179,2,0,2,3,0,1,9.0,1
0.0,3.0,4.0,70.0,79.5,180,2,0,1,2,0,1,10.0,0
0.0,0.0,4.0,58.0,125.0,181,1,0,1,0,0,0,5.0,1
0.0,1.0,3.0,9.0,36.25,182,1,0,2,1,0,0,8.0,0
0.0,0.0,4.0,203.0,96.3,183,2,0,0,3,0,0,8.0,1
0.0,0.0,3.0,157.0,99.88,184,2,0,0,3,0,0,12.0,0
0.0,1.0,3.0,4.0,90.6,185,1,0,0,1,0,0,9.0,0
3.0,0.0,4.0,184.0,128.7,186,3,0,1,3,0,2,10.0,1
0.0,1.0,3.0,275.0,110.0,187,2,0,2,0,0,0,4.0,1
1.0,0.0,4.0,50.0,67.66,188,2,0,2,2,0,0,3.0,1
0.0,0.0,4.0,157.0,123.3,189,2,0,0,3,0,2,8.0,1
0.0,1.0,3.0,102.0,101.5,190,2,0,0,2,0,0,10.0,1
3.0,0.0,4.0,39.0,83.16,191,2,0,1,2,0,2,10.0,0
3.0,0.0,4.0,28.0,108.42,192,1,0,0,3,0,1,6.0,0
0.0,0.0,4.0,34.0,117.0,193,2,0,2,1,0,1,9.0,0
0.0,0.0,4.0,6.0,92.0,194,1,0,1,2,0,0,2.0,0
0.0,0.0,3.0,15.0,54.75,195,2,0,2,2,0,0,10.0,0
0.0,1.0,4.0,5.0,134.3,196,2,0,0,5,0,1,11.0,0
0.0,0.0,1.0,33.0,65.0,197,1,0,0,2,0,0,9.0,0
0.0,0.0,4.0,81.0,76.5,198,2,0,5,12,0,1,8.0,1
0.0,0.0,4.0,275.0,90.0,199,2,0,1,4,0,0,10.0,1
0.0,3.0,4.0,7.0,139.0,200,2,0,1,1,0,0,7.0,0
0.0,0.0,4.0,24.0,117.0,201,2,0,0,2,0,0,4.0,1
0.0,0.0,4.0,12.0,125.0,202,1,0,1,0,0,1,5.0,0
0.0,0.0,4.0,3.0,145.0,203,1,0,1,0,0,2,9.0,0
0.0,1.0,3.0,74.0,109.0,204,2,0,0,2,0,0,9.0,0
0.0,3.0,4.0,142.0,108.0,205,2,0,0,3,0,0,10.0,1
0.0,0.0,2.0,58.0,65.0,206,1,0,1,0,0,0,11.0,1
0.0,0.0,3.0,164.0,100.0,207,1,0,0,2,0,0,10.0,0
0.0,1.0,3.0,161.0,130.0,208,2,0,1,2,0,0,3.0,1
0.0,0.0,4.0,45.0,86.4,209,1,0,1,1,0,0,11.0,1
0.0,3.0,4.0,101.0,65.83,210,2,1,0,1,0,2,4.0,0
0.0,0.0,2.0,15.0,81.0,211,1,0,0,1,0,0,2.0,0
0.0,0.0,4.0,228.0,87.9,212,2,0,2,1,0,0,10.0,1
0.0,0.0,4.0,17.0,117.04,213,2,0,2,2,0,1,10.0,0
0.0,3.0,4.0,37.0,108.0,214,2,0,1,1,0,2,9.0,0
0.0,0.0,4.0,5.0,110.0,215,2,1,0,1,0,3,2.0,0
0.0,1.0,4.0,49.0,145.61,216,2,0,1,4,0,1,12.0,0
0.0,3.0,4.0,58.0,80.75,217,2,0,1,4,0,0,7.0,1
0.0,0.0,3.0,33.0,57.92,218,2,0,2,3,0,1,9.0,0
0.0,0.0,3.0,11.0,88.5,219,2,0,2,2,0,0,10.0,0
0.0,0.0,4.0,193.0,108.45,220,2,0,2,2,0,1,8.0,1
0.0,1.0,3.0,75.0,105.0,221,2,0,2,0,0,0,10.0,1
0.0,0.0,2.0,58.0,79.0,222,1,0,0,1,1,1,11.0,0
0.0,0.0,4.0,8.0,117.67,223,2,0,0,3,0,2,9.0,0
0.0,0.0,3.0,22.0,85.0,224,2,0,2,1,0,0,7.0,0
3.0,0.0,3.0,46.0,99.88,225,1,0,1,3,0,0,9.0,0
0.0,0.0,3.0,0.0,99.88,226,1,0,0,2,0,0,6.0,0
0.0,0.0,2.0,17.0,95.0,227,1,0,1,1,0,0,10.0,0
3.0,0.0,4.0,93.0,150.3,228,3,0,1,3,0,0,8.0,1
3.0,0.0,4.0,50.0,139.5,229,2,0,2,1,0,1,10.0,1
0.0,0.0,2.0,26.0,77.0,230,1,0,0,3,0,0,11.0,1
0.0,1.0,3.0,256.0,99.88,231,2,0,0,2,0,1,6.0,1
0.0,3.0,4.0,18.0,75.0,232,2,0,0,1,0,2,12.0,0
0.0,3.0,4.0,36.0,99.88,233,2,0,0,2,0,1,11.0,0
5.0,0.0,4.0,34.0,207.9,234,2,2,1,0,0,1,8.0,0
0.0,3.0,4.0,12.0,79.0,235,2,0,0,1,0,0,2.0,1
0.0,1.0,3.0,220.0,128.0,236,1,0,2,1,0,0,9.0,1
0.0,0.0,2.0,2.0,65.0,237,1,0,0,1,1,0,11.0,0
0.0,1.0,4.0,320.0,115.0,238,2,0,0,2,0,1,8.0,1
3.0,0.0,4.0,155.0,115.6,239,3,0,1,3,0,1,12.0,1
0.0,0.0,4.0,45.0,126.9,240,2,0,1,1,0,2,5.0,0
5.0,0.0,4.0,28.0,160.2,241,2,1,0,3,0,1,10.0,0
3.0,0.0,4.0,34.0,131.4,242,2,0,1,1,0,1,4.0,0
0.0,0.0,3.0,70.0,100.0,243,2,0,0,2,0,0,6.0,0
3.0,0.0,4.0,81.0,168.3,244,3,0,0,3,0,0,9.0,1
0.0,0.0,4.0,157.0,127.0,245,2,0,0,3,0,0,5.0,1
0.0,0.0,4.0,35.0,99.88,246,1,0,0,1,0,0,3.0,1
0.0,0.0,4.0,74.0,99.45,247,2,0,0,4,0,1,4.0,0
0.0,0.0,3.0,94.0,102.68,248,2,1,2,2,0,0,9.0,0
0.0,0.0,2.0,113.0,100.0,249,1,0,0,3,0,0,5.0,1
0.0,0.0,4.0,190.0,90.9,250,2,0,0,3,0,0,11.0,1
3.0,0.0,3.0,0.0,90.95,251,2,0,0,2,0,1,6.0,0
0.0,0.0,3.0,30.0,99.88,252,2,0,0,2,0,0,6.0,0
0.0,0.0,3.0,39.0,85.0,253,2,0,1,2,0,0,3.0,0
0.0,3.0,4.0,1.0,103.18,254,1,0,1,0,0,1,10.0,0
0.0,0.0,4.0,26.0,161.0,255,2,1,2,1,0,0,10.0,0
0.0,0.0,4.0,58.0,121.5,256,2,1,1,1,0,2,7.0,0
0.0,0.0,3.0,433.0,70.0,257,2,0,0,3,0,0,9.0,1
0.0,0.0,3.0,195.0,72.25,258,2,0,2,5,0,0,8.0,0
0.0,0.0,3.0,58.0,130.0,259,1,0,0,2,0,0,6.0,1
0.0,0.0,4.0,74.0,112.5,260,2,1,0,3,0,1,4.0,1
0.0,0.0,3.0,273.0,95.0,261,2,0,1,2,0,0,5.0,1
0.0,3.0,4.0,6.0,66.3,262,2,0,1,3,0,0,12.0,0
0.0,0.0,4.0,89.0,83.66,263,2,0,2,5,0,1,3.0,0
5.0,0.0,4.0,58.0,180.0,264,2,2,2,0,0,1,3.0,1
0.0,0.0,4.0,103.0,114.3,265,2,0,1,5,0,1,7.0,0
0.0,0.0,4.0,155.0,117.42,266,1,0,4,11,0,0,8.0,1
4.0,0.0,4.0,3.0,128.8,267,2,0,0,1,0,0,6.0,0
0.0,0.0,3.0,180.0,120.0,268,1,0,1,2,0,0,10.0,1
0.0,0.0,4.0,92.0,89.85,269,2,0,0,4,0,2,7.0,0
0.0,1.0,3.0,56.0,82.0,270,2,0,0,2,0,0,9.0,0
0.0,0.0,4.0,279.0,110.0,271,2,0,0,3,0,0,10.0,1
0.0,0.0,4.0,134.0,114.3,272,2,0,0,2,0,1,8.0,0
0.0,3.0,4.0,8.0,139.0,273,2,0,0,2,0,1,3.0,0
3.0,0.0,4.0,10.0,172.0,274,3,0,2,2,0,2,4.0,0
0.0,0.0,4.0,2.0,148.0,275,2,0,2,0,0,1,8.0,0
0.0,3.0,4.0,52.0,79.5,276,2,0,1,2,0,1,2.0,1
0.0,0.0,3.0,116.0,99.88,277,1,0,2,1,0,0,2.0,1
5.0,0.0,4.0,89.0,186.3,278,2,2,0,2,0,0,7.0,1
0.0,0.0,4.0,193.0,120.0,279,2,0,1,2,0,0,6.0,1
0.0,0.0,3.0,92.0,90.0,280,2,0,0,1,0,0,11.0,0
0.0,0.0,4.0,95.0,130.5,281,2,1,2,3,0,1,7.0,0
0.0,0.0,4.0,6.0,109.0,282,2,1,1,3,0,1,2.0,1
3.0,0.0,4.0,60.0,106.2,283,2,0,1,2,0,1,4.0,0
0.0,0.0,4.0,359.0,105.0,284,2,0,2,2,0,1,9.0,1
0.0,0.0,4.0,67.0,88.4,285,2,0,0,4,0,2,11.0,1
0.0,0.0,4.0,177.0,123.75,286,2,1,1,4,0,0,8.0,1
0.0,3.0,4.0,101.0,54.06,287,2,0,1,5,0,0,4.0,0
0.0,0.0,2.0,15.0,80.0,288,1,0,0,1,0,0,2.0,0
0.0,0.0,4.0,30.0,94.2,289,1,0,0,1,0,0,8.0,0
0.0,0.0,4.0,89.0,128.85,290,2,0,2,2,0,0,5.0,0
0.0,0.0,4.0,21.0,133.5,291,2,0,0,4,0,0,9.0,1
0.0,0.0,3.0,6.0,70.0,292,2,0,2,4,0,0,8.0,0
0.0,0.0,4.0,135.0,119.85,293,2,0,1,3,0,2,6.0,0
0.0,0.0,4.0,1.0,0.0,294,1,0,0,1,0,0,3.0,0
0.0,0.0,4.0,37.0,145.8,295,2,0,1,3,0,2,9.0,0
0.0,0.0,3.0,45.0,75.0,296,2,0,2,5,0,1,11.0,0
0.0,0.0,3.0,168.0,99.88,297,2,0,2,3,0,2,8.0,0
0.0,0.0,4.0,143.0,100.3,298,2,0,2,3,0,0,6.0,1
0.0,0.0,4.0,25.0,75.2,299,1,0,0,1,0,0,11.0,0
0.0,1.0,4.0,102.0,101.5,300,2,0,0,2,0,0,10.0,1
0.0,0.0,3.0,4.0,81.6,301,2,1,2,2,0,2,12.0,0
0.0,3.0,4.0,108.0,108.0,302,2,0,1,3,0,2,10.0,0
0.0,0.0,2.0,8.0,65.0,303,1,0,0,1,1,1,7.0,0
0.0,0.0,3.0,56.0,185.0,304,2,0,2,2,0,0,9.0,0
5.0,0.0,4.0,12.0,220.0,305,2,2,0,1,0,0,8.0,1
0.0,0.0,4.0,0.0,80.0,306,1,0,1,0,0,0,8.0,0
0.0,0.0,3.0,58.0,75.0,307,2,0,2,1,0,1,10.0,0
3.0,0.0,4.0,0.0,158.0,308,3,0,1,1,0,0,5.0,0
0.0,1.0,3.0,39.0,87.0,309,1,0,0,2,0,0,8.0,0
5.0,0.0,4.0,36.0,103.95,310,2,0,0,1,0,0,4.0,0
4.0,0.0,3.0,63.0,131.75,311,2,1,0,5,0,2,7.0,0
1.0,0.0,4.0,87.0,112.01,312,0,2,2,2,0,1,5.0,0
0.0,0.0,4.0,58.0,79.2,313,2,0,1,2,0,1,11.0,0
0.0,0.0,3.0,301.0,52.0,314,2,0,0,2,0,0,11.0,1
0.0,1.0,4.0,346.0,115.0,315,2,0,0,2,0,1,9.0,1
0.0,0.0,4.0,361.0,91.0,316,1,0,0,1,1,0,11.0,1
0.0,0.0,2.0,3.0,65.0,317,1,0,1,0,1,0,6.0,0
0.0,0.0,3.0,49.0,71.0,318,2,0,0,4,0,0,12.0,0
0.0,0.0,4.0,19.0,99.88,319,1,0,0,1,0,0,5.0,0
0.0,1.0,3.0,74.0,101.5,320,2,0,0,2,0,0,9.0,0
0.0,3.0,4.0,34.0,107.1,321,2,0,0,3,0,1,6.0,0
0.0,0.0,4.0,73.0,79.05,322,2,0,1,4,0,1,3.0,1
0.0,0.0,2.0,0.0,67.0,323,1,0,0,1,0,0,11.0,0
0.0,0.0,4.0,94.0,96.3,324,2,0,0,2,0,1,4.0,0
0.0,0.0,4.0,134.0,76.58,325,2,0,1,4,0,1,5.0,0
0.0,0.0,4.0,1.0,80.0,326,1,0,1,0,0,0,1.0,0
3.0,0.0,4.0,75.0,127.8,327,2,0,0,1,0,1,7.0,0
0.0,1.0,3.0,100.0,140.0,328,2,0,0,4,0,1,9.0,0
0.0,3.0,4.0,91.0,116.1,329,2,0,1,1,0,0,6.0,1
0.0,0.0,3.0,22.0,95.0,330,2,0,0,3,0,0,10.0,0
5.0,0.0,4.0,13.0,153.0,331,2,0,1,1,0,0,8.0,0
0.0,0.0,3.0,32.0,73.0,332,1,0,0,2,0,0,11.0,0
0.0,0.0,4.0,63.0,126.9,333,2,0,0,3,0,1,6.0,1
0.0,0.0,4.0,26.0,127.2,334,3,0,1,3,0,0,9.0,1
0.0,1.0,4.0,296.0,117.0,335,2,0,0,4,0,1,9.0,1
0.0,0.0,4.0,8.0,95.0,336,1,0,0,1,0,0,4.0,1
0.0,0.0,4.0,7.0,130.67,337,2,0,2,1,0,0,8.0,1
0.0,0.0,3.0,263.0,110.0,338,2,0,0,2,0,0,10.0,1
0.0,0.0,3.0,140.0,70.0,339,2,0,0,5,0,0,12.0,0
0.0,1.0,3.0,131.0,94.5,340,2,0,2,1,0,0,8.0,0
0.0,0.0,4.0,6.0,137.0,341,3,0,0,3,0,0,3.0,1
0.0,0.0,4.0,219.0,99.88,342,2,0,0,2,0,1,9.0,1
0.0,3.0,3.0,19.0,75.0,343,1,0,1,1,0,0,7.0,0
0.0,0.0,4.0,16.0,142.0,344,3,0,0,2,0,4,10.0,0
0.0,0.0,3.0,57.0,75.0,345,1,0,0,2,0,0,9.0,0
0.0,0.0,4.0,7.0,152.0,346,2,0,1,2,0,1,9.0,0
